2026-01-21 12:47:08.886451: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 28.998}
2026-01-21 12:47:11.379202: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 28.998}
2026-01-21 12:47:13.435478: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 28.998}
2026-01-21 12:47:16.093755: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 28.998}
2026-01-21 12:47:18.189516: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 28.998}
2026-01-21 12:47:20.460857: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 28.998}
2026-01-21 12:47:22.833087: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 28.998}
2026-01-21 12:47:25.698305: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 28.998}
2026-01-21 12:47:27.455233: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 28.998}
2026-01-21 12:47:29.711205: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.018}
2026-01-21 12:47:31.974849: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.018}
2026-01-21 12:47:34.293929: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 28.998}
2026-01-21 12:47:36.702936: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 28.998}
2026-01-21 12:47:39.127366: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 28.998}
2026-01-21 12:47:41.411556: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.018}
2026-01-21 12:47:43.735952: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.059}
2026-01-21 12:47:45.986278: Received {'room': 'room-1', 'temperature': 21.852, 'humidity': 29.059}
2026-01-21 12:47:48.306154: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.102}
2026-01-21 12:47:51.020009: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:47:52.845470: Received {'room': 'room-1', 'temperature': 21.841, 'humidity': 29.102}
2026-01-21 12:47:55.162254: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 29.102}
2026-01-21 12:47:57.559735: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:47:59.705985: Received {'room': 'room-1', 'temperature': 21.857, 'humidity': 29.102}
2026-01-21 12:48:02.063351: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.102}
2026-01-21 12:48:04.329272: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 29.102}
2026-01-21 12:48:06.568051: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.102}
2026-01-21 12:48:08.926524: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.102}
2026-01-21 12:48:11.380958: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:48:13.634816: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.102}
2026-01-21 12:48:17.627193: Received {'room': 'room-1', 'temperature': 21.847, 'humidity': 29.102}
2026-01-21 12:48:19.985778: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:48:22.222060: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.102}
2026-01-21 12:48:24.593684: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:48:26.844096: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:48:29.095973: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:48:31.361950: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.102}
2026-01-21 12:48:33.709035: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:48:36.081949: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.102}
2026-01-21 12:48:38.307335: Received {'room': 'room-1', 'temperature': 21.852, 'humidity': 29.102}
2026-01-21 12:48:40.588523: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:48:42.927485: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:48:45.281573: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.102}
2026-01-21 12:48:45.285997: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.102}
2026-01-21 12:48:47.505414: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:48:47.522155: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:48:49.791703: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:48:49.825370: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:48:52.038174: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:48:52.111282: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:48:54.394348: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.102}
2026-01-21 12:48:54.498480: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.102}
2026-01-21 12:48:56.646165: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.102}
2026-01-21 12:48:56.709592: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.102}
2026-01-21 12:48:58.900737: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:48:58.905581: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:49:01.562578: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.102}
2026-01-21 12:49:01.598281: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.102}
2026-01-21 12:49:04.019990: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.102}
2026-01-21 12:49:04.024576: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.102}
2026-01-21 12:49:06.064072: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:49:06.065047: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:49:08.626840: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:49:08.667641: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:49:10.627370: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.102}
2026-01-21 12:49:10.629634: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.102}
2026-01-21 12:49:12.924293: Received {'room': 'room-1', 'temperature': 21.862, 'humidity': 29.102}
2026-01-21 12:49:12.929121: Received {'room': 'room-1', 'temperature': 21.862, 'humidity': 29.102}
2026-01-21 12:49:15.282356: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.102}
2026-01-21 12:49:15.286706: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.102}
2026-01-21 12:49:17.466452: Received {'room': 'room-1', 'temperature': 21.857, 'humidity': 29.102}
2026-01-21 12:49:17.469027: Received {'room': 'room-1', 'temperature': 21.857, 'humidity': 29.102}
2026-01-21 12:49:19.893490: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:49:22.201892: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:49:22.208840: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:49:24.600285: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:49:24.602913: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:49:26.882241: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.102}
2026-01-21 12:49:27.059851: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.102}
2026-01-21 12:49:29.415150: Received {'room': 'room-1', 'temperature': 21.857, 'humidity': 29.14}
2026-01-21 12:49:29.415150: Received {'room': 'room-1', 'temperature': 21.857, 'humidity': 29.14}
2026-01-21 12:49:31.667600: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.102}
2026-01-21 12:49:31.672173: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.102}
2026-01-21 12:49:33.884285: Received {'room': 'room-1', 'temperature': 21.857, 'humidity': 29.102}
2026-01-21 12:49:33.892132: Received {'room': 'room-1', 'temperature': 21.857, 'humidity': 29.102}
2026-01-21 12:49:36.215264: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.102}
2026-01-21 12:49:36.218249: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.102}
2026-01-21 12:49:38.554712: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:49:38.613116: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.102}
2026-01-21 12:49:40.883745: Received {'room': 'room-1', 'temperature': 21.857, 'humidity': 29.102}
2026-01-21 12:49:41.405508: Received {'room': 'room-1', 'temperature': 21.857, 'humidity': 29.102}
2026-01-21 12:49:43.239811: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.14}
2026-01-21 12:49:43.244948: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.14}
2026-01-21 12:49:45.594923: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.14}
2026-01-21 12:49:45.596841: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.14}
2026-01-21 12:49:47.865455: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.16}
2026-01-21 12:49:47.869047: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.16}
2026-01-21 12:49:50.159601: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.16}
2026-01-21 12:49:50.172394: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.16}
2026-01-21 12:49:52.452510: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.18}
2026-01-21 12:49:52.466822: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.18}
2026-01-21 12:49:54.856691: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.2}
2026-01-21 12:49:54.864153: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.2}
2026-01-21 12:49:57.164252: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.2}
2026-01-21 12:49:57.288105: Received {'room': 'room-1', 'temperature': 21.854, 'humidity': 29.2}
2026-01-21 12:49:59.519869: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.16}
2026-01-21 12:49:59.777488: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.16}
2026-01-21 12:50:01.795411: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.2}
2026-01-21 12:50:01.799417: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.2}
2026-01-21 12:50:04.162790: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.2}
2026-01-21 12:50:04.167475: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.2}
2026-01-21 12:50:06.585898: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.2}
2026-01-21 12:50:06.590848: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.2}
2026-01-21 12:50:08.896598: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.18}
2026-01-21 12:50:08.899979: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.18}
2026-01-21 12:50:11.159172: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.18}
2026-01-21 12:50:11.197553: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.18}
2026-01-21 12:50:13.488031: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.18}
2026-01-21 12:50:13.862659: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.18}
2026-01-21 12:50:15.902738: Received {'room': 'room-1', 'temperature': 21.857, 'humidity': 29.18}
2026-01-21 12:50:15.904688: Received {'room': 'room-1', 'temperature': 21.857, 'humidity': 29.18}
2026-01-21 12:50:18.159378: Received {'room': 'room-1', 'temperature': 21.849, 'humidity': 29.16}
2026-01-21 12:50:20.417828: Received {'room': 'room-1', 'temperature': 21.857, 'humidity': 29.18}
2026-01-21 12:50:20.417969: Received {'room': 'room-1', 'temperature': 21.857, 'humidity': 29.18}
2026-01-21 12:50:22.764043: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.18}
2026-01-21 12:50:22.767364: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.18}
2026-01-21 12:50:24.995111: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.18}
2026-01-21 12:50:25.080133: Received {'room': 'room-1', 'temperature': 21.859, 'humidity': 29.18}
